1,2
2,3
2,4
2,5
3,6
4,6
5,7
6,8
7,9
8,10
9,10
10,11
11,12
12,13
12,14
12,15
13,16
14,16
15,17
16,18
17,19
18,20
19,20
20,21
21,22
22,23
22,24
22,25
23,26
24,26
25,27
26,28
27,29
28,30
29,30
30,31
31,32
32,33
32,34
32,35
33,36
34,36
35,37
36,38
37,39
38,40
39,40
40,41
41,42
42,43
42,44
42,45
43,46
44,46
45,47
46,48
47,49
48,50
49,50
50,51
51,52
52,53
52,54
52,55
53,56
54,56
55,57
56,58
57,59
58,60
59,60
60,61
61,62
62,63
62,64
62,65
63,66
64,66
65,67
66,68
67,69
68,70
69,70
70,71
71,72
72,73
72,74
72,75
73,76
74,76
75,77
76,78
77,79
78,80
79,80
80,81
81,82
82,83
82,84
82,85
83,86
84,86
85,87
86,88
87,89
88,90
89,90
90,91
91,92
92,93
92,94
92,95
93,96
94,96
95,97
96,98
97,99
98,100
99,100
